car_ID,CarName,fueltype,aspiration,doornumber,carbody,drivewheel,enginelocation,cylindernumber,enginesize,fuelsystem,horsepower,price
1,alfa-romero giulia,gas,std,two,convertible,rwd,front,four,130,mpfi,111,13495
2,alfa-romero stelvio,gas,std,two,convertible,rwd,front,four,130,mpfi,111,16500
3,alfa-romero Quadrifoglio,gas,std,two,hatchback,rwd,front,six,152,mpfi,154,16500
4,audi 100 ls,gas,std,four,sedan,fwd,front,four,109,mpfi,102,13950
5,audi 100ls,gas,std,four,sedan,4wd,front,five,136,mpfi,115,17450
6,audi fox,gas,std,two,sedan,fwd,front,five,136,mpfi,110,15250
7,audi 100ls,gas,std,four,sedan,fwd,front,five,136,mpfi,110,17710
8,audi 5000,gas,std,four,wagon,fwd,front,five,136,mpfi,110,18920
9,audi 4000,gas,turbo,four,sedan,fwd,front,five,131,mpfi,140,23875
10,audi 5000s (diesel),gas,turbo,two,hatchback,4wd,front,five,131,mpfi,160,17859.167
11,bmw 320i,gas,std,two,sedan,rwd,front,four,108,mpfi,101,16430
12,bmw 320i,gas,std,four,sedan,rwd,front,four,108,mpfi,101,16925
13,bmw x1,gas,std,two,sedan,rwd,front,six,164,mpfi,121,20970
14,bmw x3,gas,std,four,sedan,rwd,front,six,164,mpfi,121,21105
15,bmw z4,gas,std,four,sedan,rwd,front,six,164,mpfi,121,24565
16,bmw x4,gas,std,four,sedan,rwd,front,six,209,mpfi,182,30760
17,bmw x5,gas,std,two,sedan,rwd,front,six,209,mpfi,182,41315
18,bmw x3,gas,std,four,sedan,rwd,front,six,209,mpfi,182,36880
19,chevrolet impala,gas,std,two,hatchback,fwd,front,three,61,2bbl,48,5151
20,chevrolet monte carlo,gas,std,two,hatchback,fwd,front,four,90,2bbl,70,6295
21,chevrolet vega 2300,gas,std,four,sedan,fwd,front,four,90,2bbl,70,6575
22,dodge rampage,gas,std,two,hatchback,fwd,front,four,90,2bbl,68,5572
23,dodge challenger se,gas,std,two,hatchback,fwd,front,four,90,2bbl,68,6377
24,dodge d200,gas,turbo,two,hatchback,fwd,front,four,98,mpfi,102,7957
25,dodge monaco (sw),gas,std,four,hatchback,fwd,front,four,90,2bbl,68,6229
26,dodge colt hardtop,gas,std,four,sedan,fwd,front,four,90,2bbl,68,6692
27,dodge colt (sw),gas,std,four,sedan,fwd,front,four,90,2bbl,68,7609
28,dodge coronet custom,gas,turbo,two,sedan,fwd,front,four,98,mpfi,102,8558
29,dodge dart custom,gas,std,four,wagon,fwd,front,four,122,2bbl,88,8921
30,dodge coronet custom (sw),gas,turbo,two,hatchback,fwd,front,four,156,mfi,145,12964
31,honda civic,gas,std,two,hatchback,fwd,front,four,92,1bbl,58,6479
32,honda civic cvcc,gas,std,two,hatchback,fwd,front,four,92,1bbl,76,6855
33,honda civic,gas,std,two,hatchback,fwd,front,four,79,1bbl,60,5399
34,honda accord cvcc,gas,std,two,hatchback,fwd,front,four,92,1bbl,76,6529
35,honda civic cvcc,gas,std,two,hatchback,fwd,front,four,92,1bbl,76,7129
36,honda accord lx,gas,std,four,sedan,fwd,front,four,92,1bbl,76,7295
37,honda civic 1500 gl,gas,std,four,wagon,fwd,front,four,92,1bbl,76,7295
38,honda accord,gas,std,two,hatchback,fwd,front,four,110,1bbl,86,7895
39,honda civic 1300,gas,std,two,hatchback,fwd,front,four,110,1bbl,86,9095
40,honda prelude,gas,std,four,sedan,fwd,front,four,110,1bbl,86,8845
41,honda accord,gas,std,four,sedan,fwd,front,four,110,1bbl,86,10295
42,honda civic,gas,std,four,sedan,fwd,front,four,110,mpfi,101,12945
43,honda civic (auto),gas,std,two,sedan,fwd,front,four,110,2bbl,100,10345
44,isuzu MU-X,gas,std,four,sedan,rwd,front,four,111,2bbl,78,6785
45,isuzu D-Max ,gas,std,two,sedan,fwd,front,four,90,2bbl,70,8916.5
46,isuzu D-Max V-Cross,gas,std,four,sedan,fwd,front,four,90,2bbl,70,8916.5
47,isuzu D-Max ,gas,std,two,hatchback,rwd,front,four,119,spfi,90,11048
48,jaguar xj,gas,std,four,sedan,rwd,front,six,258,mpfi,176,32250
49,jaguar xf,gas,std,four,sedan,rwd,front,six,258,mpfi,176,35550
50,jaguar xk,gas,std,two,sedan,rwd,front,twelve,326,mpfi,262,36000
51,maxda rx3,gas,std,two,hatchback,fwd,front,four,91,2bbl,68,5195
52,maxda glc deluxe,gas,std,two,hatchback,fwd,front,four,91,2bbl,68,6095
53,mazda rx2 coupe,gas,std,two,hatchback,fwd,front,four,91,2bbl,68,6795
54,mazda rx-4,gas,std,four,sedan,fwd,front,four,91,2bbl,68,6695
55,mazda glc deluxe,gas,std,four,sedan,fwd,front,four,91,2bbl,68,7395
56,mazda 626,gas,std,two,hatchback,rwd,front,two,70,4bbl,101,10945
57,mazda glc,gas,std,two,hatchback,rwd,front,two,70,4bbl,101,11845
58,mazda rx-7 gs,gas,std,two,hatchback,rwd,front,two,70,4bbl,101,13645
59,mazda glc 4,gas,std,two,hatchback,rwd,front,two,80,mpfi,135,15645
60,mazda 626,gas,std,two,hatchback,fwd,front,four,122,2bbl,84,8845
61,mazda glc custom l,gas,std,four,sedan,fwd,front,four,122,2bbl,84,8495
62,mazda glc custom,gas,std,two,hatchback,fwd,front,four,122,2bbl,84,10595
63,mazda rx-4,gas,std,four,sedan,fwd,front,four,122,2bbl,84,10245
64,mazda glc deluxe,diesel,std,four,sedan,fwd,front,four,122,idi,64,10795
65,mazda 626,gas,std,four,hatchback,fwd,front,four,122,2bbl,84,11245
66,mazda glc,gas,std,four,sedan,rwd,front,four,140,mpfi,120,18280
67,mazda rx-7 gs,diesel,std,four,sedan,rwd,front,four,134,idi,72,18344
68,buick electra 225 custom,diesel,turbo,four,sedan,rwd,front,five,183,idi,123,25552
69,buick century luxus (sw),diesel,turbo,four,wagon,rwd,front,five,183,idi,123,28248
70,buick century,diesel,turbo,two,hardtop,rwd,front,five,183,idi,123,28176
71,buick skyhawk,diesel,turbo,four,sedan,rwd,front,five,183,idi,123,31600
72,buick opel isuzu deluxe,gas,std,four,sedan,rwd,front,eight,234,mpfi,155,34184
73,buick skylark,gas,std,two,convertible,rwd,front,eight,234,mpfi,155,35056
74,buick century special,gas,std,four,sedan,rwd,front,eight,308,mpfi,184,40960
75,buick regal sport coupe (turbo),gas,std,two,hardtop,rwd,front,eight,304,mpfi,184,45400
76,mercury cougar,gas,turbo,two,hatchback,rwd,front,four,140,mpfi,175,16503
77,mitsubishi mirage,gas,std,two,hatchback,fwd,front,four,92,2bbl,68,5389
78,mitsubishi lancer,gas,std,two,hatchback,fwd,front,four,92,2bbl,68,6189
79,mitsubishi outlander,gas,std,two,hatchback,fwd,front,four,92,2bbl,68,6669
80,mitsubishi g4,gas,turbo,two,hatchback,fwd,front,four,98,spdi,102,7689
81,mitsubishi mirage g4,gas,turbo,two,hatchback,fwd,front,four,110,spdi,116,9959
82,mitsubishi g4,gas,std,two,hatchback,fwd,front,four,122,2bbl,88,8499
83,mitsubishi outlander,gas,turbo,two,hatchback,fwd,front,four,156,spdi,145,12629
84,mitsubishi g4,gas,turbo,two,hatchback,fwd,front,four,156,spdi,145,14869
85,mitsubishi mirage g4,gas,turbo,two,hatchback,fwd,front,four,156,spdi,145,14489
86,mitsubishi montero,gas,std,four,sedan,fwd,front,four,122,2bbl,88,6989
87,mitsubishi pajero,gas,std,four,sedan,fwd,front,four,122,2bbl,88,8189
88,mitsubishi outlander,gas,turbo,four,sedan,fwd,front,four,110,spdi,116,9279
89,mitsubishi mirage g4,gas,std,four,sedan,fwd,front,four,110,spdi,116,9279
90,Nissan versa,gas,std,two,sedan,fwd,front,four,97,2bbl,69,5499
91,nissan gt-r,diesel,std,two,sedan,fwd,front,four,103,idi,55,7099
92,nissan rogue,gas,std,two,sedan,fwd,front,four,97,2bbl,69,6649
93,nissan latio,gas,std,four,sedan,fwd,front,four,97,2bbl,69,6849
94,nissan titan,gas,std,four,wagon,fwd,front,four,97,2bbl,69,7349
95,nissan leaf,gas,std,two,sedan,fwd,front,four,97,2bbl,69,7299
96,nissan juke,gas,std,two,hatchback,fwd,front,four,97,2bbl,69,7799
97,nissan latio,gas,std,four,sedan,fwd,front,four,97,2bbl,69,7499
98,nissan note,gas,std,four,wagon,fwd,front,four,97,2bbl,69,7999
99,nissan clipper,gas,std,two,hardtop,fwd,front,four,97,2bbl,69,8249
100,nissan rogue,gas,std,four,hatchback,fwd,front,four,120,2bbl,97,8949
101,nissan nv200,gas,std,four,sedan,fwd,front,four,120,2bbl,97,9549
102,nissan dayz,gas,std,four,sedan,fwd,front,six,181,mpfi,152,13499
103,nissan fuga,gas,std,four,wagon,fwd,front,six,181,mpfi,152,14399
104,nissan otti,gas,std,four,sedan,fwd,front,six,181,mpfi,152,13499
105,nissan teana,gas,std,two,hatchback,rwd,front,six,181,mpfi,160,17199
106,nissan kicks,gas,turbo,two,hatchback,rwd,front,six,181,mpfi,200,19699
107,nissan clipper,gas,std,two,hatchback,rwd,front,six,181,mpfi,160,18399
108,peugeot 504,gas,std,four,sedan,rwd,front,four,120,mpfi,97,11900
109,peugeot 304,diesel,turbo,four,sedan,rwd,front,four,152,idi,95,13200
110,peugeot 504 (sw),gas,std,four,wagon,rwd,front,four,120,mpfi,97,12440
111,peugeot 504,diesel,turbo,four,wagon,rwd,front,four,152,idi,95,13860
112,peugeot 504,gas,std,four,sedan,rwd,front,four,120,mpfi,95,15580
113,peugeot 604sl,diesel,turbo,four,sedan,rwd,front,four,152,idi,95,16900
114,peugeot 504,gas,std,four,wagon,rwd,front,four,120,mpfi,95,16695
115,peugeot 505s turbo diesel,diesel,turbo,four,wagon,rwd,front,four,152,idi,95,17075
116,peugeot 504,gas,std,four,sedan,rwd,front,four,120,mpfi,97,16630
117,peugeot 504,diesel,turbo,four,sedan,rwd,front,four,152,idi,95,17950
118,peugeot 604sl,gas,turbo,four,sedan,rwd,front,four,134,mpfi,142,18150
119,plymouth fury iii,gas,std,two,hatchback,fwd,front,four,90,2bbl,68,5572
120,plymouth cricket,gas,turbo,two,hatchback,fwd,front,four,98,spdi,102,7957
121,plymouth fury iii,gas,std,four,hatchback,fwd,front,four,90,2bbl,68,6229
122,plymouth satellite custom (sw),gas,std,four,sedan,fwd,front,four,90,2bbl,68,6692
123,plymouth fury gran sedan,gas,std,four,sedan,fwd,front,four,98,2bbl,68,7609
124,plymouth valiant,gas,std,four,wagon,fwd,front,four,122,2bbl,88,8921
125,plymouth duster,gas,turbo,two,hatchback,rwd,front,four,156,spdi,145,12764
126,porsche macan,gas,std,two,hatchback,rwd,front,four,151,mpfi,143,22018
127,porcshce panamera,gas,std,two,hardtop,rwd,rear,six,194,mpfi,207,32528
128,porsche cayenne,gas,std,two,hardtop,rwd,rear,six,194,mpfi,207,34028
129,porsche boxter,gas,std,two,convertible,rwd,rear,six,194,mpfi,207,37028
130,porsche cayenne,gas,std,two,hatchback,rwd,front,eight,203,mpfi,288,31400.5
131,renault 12tl,gas,std,four,wagon,fwd,front,four,132,mpfi,90,9295
132,renault 5 gtl,gas,std,two,hatchback,fwd,front,four,132,mpfi,90,9895
133,saab 99e,gas,std,two,hatchback,fwd,front,four,121,mpfi,110,11850
134,saab 99le,gas,std,four,sedan,fwd,front,four,121,mpfi,110,12170
135,saab 99le,gas,std,two,hatchback,fwd,front,four,121,mpfi,110,15040
136,saab 99gle,gas,std,four,sedan,fwd,front,four,121,mpfi,110,15510
137,saab 99gle,gas,turbo,two,hatchback,fwd,front,four,121,mpfi,160,18150
138,saab 99e,gas,turbo,four,sedan,fwd,front,four,121,mpfi,160,18620
139,subaru,gas,std,two,hatchback,fwd,front,four,97,2bbl,69,5118
140,subaru dl,gas,std,two,hatchback,fwd,front,four,108,2bbl,73,7053
141,subaru dl,gas,std,two,hatchback,4wd,front,four,108,2bbl,73,7603
142,subaru,gas,std,four,sedan,fwd,front,four,108,2bbl,82,7126
143,subaru brz,gas,std,four,sedan,fwd,front,four,108,2bbl,82,7775
144,subaru baja,gas,std,four,sedan,fwd,front,four,108,mpfi,94,9960
145,subaru r1,gas,std,four,sedan,4wd,front,four,108,2bbl,82,9233
146,subaru r2,gas,turbo,four,sedan,4wd,front,four,108,mpfi,111,11259
147,subaru trezia,gas,std,four,wagon,fwd,front,four,108,2bbl,82,7463
148,subaru tribeca,gas,std,four,wagon,fwd,front,four,108,mpfi,94,10198
149,subaru dl,gas,std,four,wagon,4wd,front,four,108,2bbl,82,8013
150,subaru dl,gas,turbo,four,wagon,4wd,front,four,108,mpfi,111,11694
151,toyota corona mark ii,gas,std,two,hatchback,fwd,front,four,92,2bbl,62,5348
152,toyota corona,gas,std,two,hatchback,fwd,front,four,92,2bbl,62,6338
153,toyota corolla 1200,gas,std,four,hatchback,fwd,front,four,92,2bbl,62,6488
154,toyota corona hardtop,gas,std,four,wagon,fwd,front,four,92,2bbl,62,6918
155,toyota corolla 1600 (sw),gas,std,four,wagon,4wd,front,four,92,2bbl,62,7898
156,toyota carina,gas,std,four,wagon,4wd,front,four,92,2bbl,62,8778
157,toyota mark ii,gas,std,four,sedan,fwd,front,four,98,2bbl,70,6938
158,toyota corolla 1200,gas,std,four,hatchback,fwd,front,four,98,2bbl,70,7198
159,toyota corona,diesel,std,four,sedan,fwd,front,four,110,idi,56,7898
160,toyota corolla,diesel,std,four,hatchback,fwd,front,four,110,idi,56,7788
161,toyota corona,gas,std,four,sedan,fwd,front,four,98,2bbl,70,7738
162,toyota corolla,gas,std,four,hatchback,fwd,front,four,98,2bbl,70,8358
163,toyota mark ii,gas,std,four,sedan,fwd,front,four,98,2bbl,70,9258
164,toyota corolla liftback,gas,std,two,sedan,rwd,front,four,98,2bbl,70,8058
165,toyota corona,gas,std,two,hatchback,rwd,front,four,98,2bbl,70,8238
166,toyota celica gt liftback,gas,std,two,sedan,rwd,front,four,98,mpfi,112,9298
167,toyota corolla tercel,gas,std,two,hatchback,rwd,front,four,98,mpfi,112,9538
168,toyota corona liftback,gas,std,two,hardtop,rwd,front,four,146,mpfi,116,8449
169,toyota corolla,gas,std,two,hardtop,rwd,front,four,146,mpfi,116,9639
170,toyota starlet,gas,std,two,hatchback,rwd,front,four,146,mpfi,116,9989
171,toyota tercel,gas,std,two,hardtop,rwd,front,four,146,mpfi,116,11199
172,toyota corolla,gas,std,two,hatchback,rwd,front,four,146,mpfi,116,11549
173,toyota cressida,gas,std,two,convertible,rwd,front,four,146,mpfi,116,17669
174,toyota corolla,gas,std,four,sedan,fwd,front,four,122,mpfi,92,8948
175,toyota celica gt,diesel,turbo,four,sedan,fwd,front,four,110,idi,73,10698
176,toyota corona,gas,std,four,hatchback,fwd,front,four,122,mpfi,92,9988
177,toyota corolla,gas,std,four,sedan,fwd,front,four,122,mpfi,92,10898
178,toyota mark ii,gas,std,four,hatchback,fwd,front,four,122,mpfi,92,11248
179,toyota corolla liftback,gas,std,two,hatchback,rwd,front,six,171,mpfi,161,16558
180,toyota corona,gas,std,two,hatchback,rwd,front,six,171,mpfi,161,15998
181,toyota starlet,gas,std,four,sedan,rwd,front,six,171,mpfi,156,15690
182,toyouta tercel,gas,std,four,wagon,rwd,front,six,161,mpfi,156,15750
183,vokswagen rabbit,diesel,std,two,sedan,fwd,front,four,97,idi,52,7775
184,volkswagen 1131 deluxe sedan,gas,std,two,sedan,fwd,front,four,109,mpfi,85,7975
185,volkswagen model 111,diesel,std,four,sedan,fwd,front,four,97,idi,52,7995
186,volkswagen type 3,gas,std,four,sedan,fwd,front,four,109,mpfi,85,8195
187,volkswagen 411 (sw),gas,std,four,sedan,fwd,front,four,109,mpfi,85,8495
188,volkswagen super beetle,diesel,turbo,four,sedan,fwd,front,four,97,idi,68,9495
189,volkswagen dasher,gas,std,four,sedan,fwd,front,four,109,mpfi,100,9995
190,vw dasher,gas,std,two,convertible,fwd,front,four,109,mpfi,90,11595
191,vw rabbit,gas,std,two,hatchback,fwd,front,four,109,mpfi,90,9980
192,volkswagen rabbit,gas,std,four,sedan,fwd,front,five,136,mpfi,110,13295
193,volkswagen rabbit custom,diesel,turbo,four,sedan,fwd,front,four,97,idi,68,13845
194,volkswagen dasher,gas,std,four,wagon,fwd,front,four,109,mpfi,88,12290
195,volvo 145e (sw),gas,std,four,sedan,rwd,front,four,141,mpfi,114,12940
196,volvo 144ea,gas,std,four,wagon,rwd,front,four,141,mpfi,114,13415
197,volvo 244dl,gas,std,four,sedan,rwd,front,four,141,mpfi,114,15985
198,volvo 245,gas,std,four,wagon,rwd,front,four,141,mpfi,114,16515
199,volvo 264gl,gas,turbo,four,sedan,rwd,front,four,130,mpfi,162,18420
200,volvo diesel,gas,turbo,four,wagon,rwd,front,four,130,mpfi,162,18950
201,volvo 145e (sw),gas,std,four,sedan,rwd,front,four,141,mpfi,114,16845
202,volvo 144ea,gas,turbo,four,sedan,rwd,front,four,141,mpfi,160,19045
203,volvo 244dl,gas,std,four,sedan,rwd,front,six,173,mpfi,134,21485
204,volvo 246,diesel,turbo,four,sedan,rwd,front,six,145,idi,106,22470
205,volvo 264gl,gas,turbo,four,sedan,rwd,front,four,141,mpfi,114,22625
